Month,Oil_tbpd
02-1920,1145
03-1920,1167
04-1920,1165
05-1920,1181
06-1920,1222
07-1920,1218
08-1920,1255
09-1920,1251
10-1920,1277
11-1920,1287
12-1920,1257
01-1921,1230
02-1921,1269
03-1921,1326
04-1921,1341
05-1921,1361
06-1921,1352
07-1921,1305
08-1921,1326
09-1921,1225
10-1921,1156
11-1921,1270
12-1921,1360
01-1922,1410
02-1922,1476
03-1922,1522
04-1922,1506
05-1922,1516
06-1922,1536
07-1922,1520
08-1922,1518
09-1922,1527
10-1922,1562
11-1922,1601
12-1922,1634
01-1923,1694
02-1923,1735
03-1923,1838
04-1923,1967
05-1923,2012
06-1923,2095
07-1923,2127
08-1923,2143
09-1923,2177
10-1923,2178
11-1923,2180
12-1923,1921
01-1924,1848
02-1924,1927
03-1924,1940
04-1924,1994
05-1924,1995
06-1924,1986
07-1924,1998
08-1924,2013
09-1924,2013
10-1924,1951
11-1924,1893
12-1924,1853
01-1925,1736
02-1925,1735
03-1925,1729
04-1925,1730
05-1925,1722
06-1925,1731
07-1925,1682
08-1925,1684
09-1925,1719
10-1925,1670
11-1925,1664
12-1925,1601
01-1926,1935
02-1926,1960
03-1926,1964
04-1926,2012
05-1926,2027
06-1926,2060
07-1926,2102
08-1926,2162
09-1926,2193
10-1926,2247
11-1926,2330
12-1926,2343
01-1927,2315
02-1927,2433
03-1927,2436
04-1927,2438
05-1927,2479
06-1927,2510
07-1927,2541
08-1927,2542
09-1927,2530
10-1927,2501
11-1927,2483
12-1927,2418
01-1928,2348
02-1928,2364
03-1928,2404
04-1928,2413
05-1928,2428
06-1928,2423
07-1928,2438
08-1928,2510
09-1928,2549
10-1928,2573
11-1928,2537
12-1928,2564
01-1929,2647
02-1929,2695
03-1929,2660
04-1929,2680
05-1929,2726
06-1929,2780
07-1929,2945
08-1929,2973
09-1929,2915
10-1929,2853
11-1929,2625
12-1929,2610
01-1930,2569
02-1930,2653
03-1930,2523
04-1930,2583
05-1930,2598
06-1930,2569
07-1930,2481
08-1930,2414
09-1930,2374
10-1930,2351
11-1930,2265
12-1930,2160
01-1931,2121
02-1931,2162
03-1931,2240
04-1931,2429
05-1931,2478
06-1931,2500
07-1931,2523
08-1931,2194
09-1931,2146
10-1931,2364
11-1931,2449
